country_code,permalink,category_list,funding_round_type,raised_amount_usd
GBR,appear-here,Brand Marketing,venture,7500000.0
GBR,appinstitute,Mobile,venture,1000000.0
GBR,applearn,Software,venture,947032.0
GBR,applied-superconductor,Semiconductors,venture,5933707.0
GBR,appshare,Enterprise Software,venture,783603.0
GBR,apsu,Web Hosting,venture,11200000.0
GBR,aquamarine-power,Clean Technology,venture,17400000.0
GBR,aquapharm-biodiscovery,Biotechnology,venture,6400000.0
GBR,aquapharm-biodiscovery,Biotechnology,venture,8216758.0
GBR,aquapharm-biodiscovery,Biotechnology,venture,1610000.0
GBR,archimedes-pharma,Biotechnology,venture,99000000.0
GBR,arenaflowers-com,Curated Web,venture,310000.0
GBR,aria-networks,Software,venture,4000000.0
GBR,aria-networks,Software,venture,3950000.0
GBR,aria-networks,Software,venture,1100000.0
GBR,aridhia-informatics,Analytics,venture,783150.0
GBR,arieso,Mobile,venture,2210000.0
GBR,arkex,Consulting,venture,30000000.0
GBR,arkex,Consulting,venture,8860386.0
GBR,arkivum,Cloud Data Services,venture,2878977.0
GBR,arria-nlg,Big Data Analytics,venture,40269828.0
GBR,arrow-therapeutics,Biotechnology,venture,34898793.0
GBR,artesian-solutions,Banking,venture,3176477.0
GBR,artesian-solutions,Banking,venture,8000000.0
GBR,arvia-technology,Clean Technology,venture,6015704.0
GBR,arvia-technology,Clean Technology,venture,4166941.0
GBR,arvia-technology,Clean Technology,venture,5928678.0
GBR,asap54-com,E-Commerce,venture,3750000.0
GBR,asoko-insight,B2B,venture,1350000.0
GBR,aspex-semiconductor,Semiconductors,venture,10000000.0
GBR,asterand,Biotechnology,venture,3000000.0
GBR,asterion,Biotechnology,venture,678000.0
GBR,astleyclarke,Fashion,venture,5473908.0
GBR,atg-media-the-saleroom,Auctions,venture,6963750.0
GBR,atlas-cloud,Information Technology,venture,591346.0
GBR,atlas-genetics,Biotechnology,venture,28399065.0
GBR,atlas-genetics,Biotechnology,venture,20000000.0
GBR,atlas-genetics,Biotechnology,venture,27184389.0
GBR,atom-bank,Internet,venture,39163877.0
GBR,atom-bank,Internet,venture,128000000.0
GBR,atraverda,Clean Technology,venture,11985783.0
GBR,atraverda,Clean Technology,venture,21663300.0
GBR,attraction-world,Travel,venture,10877666.0
GBR,audacious,Curated Web,venture,163406.0
GBR,audium-semiconductor,Audio,venture,8500000.0
GBR,augmentra,Consumers,venture,200297.0
GBR,aupix,Messaging,venture,270000.0
GBR,autifony-therapeutics,Biotechnology,venture,5500000.0
GBR,autifony-therapeutics,Biotechnology,venture,12336350.0
GBR,autoquake,Automotive,venture,11890000.0
GBR,autoquake,Automotive,venture,6000000.0
GBR,autoquake,Automotive,venture,5755376.0
GBR,autoquake,Automotive,venture,11911764.0
GBR,avecto,Software,venture,49000000.0
GBR,aveillant,Consulting,venture,1584378.0
GBR,aveillant,Consulting,venture,10334077.0
GBR,axilica,Software,venture,1070000.0
GBR,axsionics,Fraud Detection,venture,9780000.0
GBR,ayondo,Finance,venture,4000042.0
GBR,ayondo,Finance,venture,6283402.0
GBR,azimo,Curated Web,venture,10000000.0
GBR,azimo,Curated Web,venture,20000000.0
GBR,azullo,Advertising,venture,109883.0
GBR,azure-solutions,Software,venture,15000000.0
GBR,babelgum,Mobile,venture,13200000.0
GBR,bactest,Biotechnology,venture,1411754.0
GBR,bacula-systems,Software,venture,5000000.0
GBR,badoo,Curated Web,venture,30564744.0
GBR,bagthat,E-Commerce,venture,3200000.0
GBR,bagthat,E-Commerce,venture,3200000.0
GBR,banktothefuture-com,Crowdfunding,venture,3000000.0
GBR,barburrito,Hospitality,venture,6022987.0
GBR,barrett-xplore,Web Hosting,venture,10000000.0
GBR,barrett-xplore,Web Hosting,venture,55000000.0
GBR,basekit-platform,Curated Web,venture,2600000.0
GBR,basekit-platform,Curated Web,venture,7000000.0
GBR,basekit-platform,Curated Web,venture,6818631.0
GBR,basekit-platform,Curated Web,venture,6500000.0
GBR,bathempire,E-Commerce,venture,12879637.0
GBR,bathrooms-com,E-Commerce,venture,12060066.0
GBR,bayfield-court,Events,venture,1420921.0
GBR,bboxx,Hardware + Software,venture,1900000.0
GBR,bboxx,Hardware + Software,venture,3000000.0
GBR,beach-solutions,Internet,venture,3000000.0
GBR,betable,Games,venture,18500000.0
GBR,betnow,Curated Web,venture,5000000.0
GBR,bhr-group,Aerospace,venture,4438488.0
GBR,bibcom,Software,venture,240000.0
